artist,title,id,H_or_N,cluster
So Solid Crew,21 Seconds,spotify:track:5KZ8y0RROfoYbB5lwCk3EJ,N,1
Robbie Williams,Eternity,spotify:track:7zw9OxtVotLfxlfavSADXQ,N,5
Basement Jaxx,Romeo,spotify:track:4tI7eIbEUfInHS3sxfqkkr,N,4
Ludacris,Southern Hospitality (Featuring Pharrell),spotify:track:4cNhx6OO1XpvwT6xZnb83B,N,4
Gabrielle,Rise,spotify:track:63nkNgHkmfgjElTEnCzKYU,N,5
Nelly,Ride Wit Me,spotify:track:3Gf5nttwcX9aaSQXRWidEZ,N,2
Trick Daddy,I'm a Thug,spotify:track:6j2aNuhJJUnRj6UHcvn5PI,N,2
Travis,Sing,spotify:track:5a6dmHgg3Qrtslo7CUPEMn,N,3
JAY-Z,Izzo (H.O.V.A.),spotify:track:4h5KBcltGefua73AUPYps7,N,1
Gabrielle,Out Of Reach,spotify:track:0HKD13PLq2WicViBBhSrOl,N,5
OPM,Heaven Is a Halfpipe (If I Die),spotify:track:1Sm3U3B5XoidYQEZQZrh3i,N,0
K-Ci & JoJo,Crazy,spotify:track:5GorFaKkP2mLREQvhSblIg,N,4
Staind,It's Been Awhile,spotify:track:25CMmGsl22APKhfuj4Tp7j,N,2
3LW,No More (Baby I'ma Do Right),spotify:track:0EoQMP0NoGZXZ0Ovkax9c5,N,3
Ginuwine,Differences,spotify:track:0Uyh92tLyb9JawG8lmWCzJ,N,4
*NSYNC,Gone,spotify:track:2yuGSFSzPeJziqGxUPrvad,N,5
Lifehouse,Hanging By A Moment,spotify:track:0wqOReZDnrefefEsrIGeR4,N,4
Nelly,Dilemma,spotify:track:0ARK753YaiJbpLUk7z5yIM,N,4
Eminem,Without Me,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,N,2
Avril Lavigne,Complicated,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,N,4
Vanessa Carlton,A Thousand Miles,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,N,2
The Calling,Wherever You Will Go,spotify:track:5QpaGzWp0hwB5faV8dkbAz,N,4
Shakira,Underneath Your Clothes,spotify:track:15f8Cv8RXUlOOCIf2oaceN,N,5
No Doubt,Underneath It All,spotify:track:6fR6Z0Vc1K6yQWNUIKjAIR,N,0
Truth Hurts,Addictive,spotify:track:36jSIOSE72neBbKntCthqw,N,2
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),spotify:track:0YImOCkIJ2PWhCXaURCZnY,N,0
Eminem,'Till I Collapse,spotify:track:4xkOaSrkexMciUUogZKVTS,N,4
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",spotify:track:6Wt5QBzHp9vdSLAFlvdnDQ,N,1
Christina Milian,When You Look At Me - Radio Edit,spotify:track:0IspqeDVLIw46spUMhOKRL,N,4
Madonna,Die Another Day,spotify:track:08NlZMpzLHxrk3kfSA4ebB,N,2
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),spotify:track:2UbFyKS0gTj9NcGLO4NpyZ,N,2
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),spotify:track:1PB6gllaq5kUUSpb5jzWjn,N,1
Linkin Park,In the End,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,N,4
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,spotify:track:6NG2IIXZfC5Notpz0GIODU,N,4
Aaliyah,Rock The Boat,spotify:track:0qvlhVNm7L5IWabWF5hlEL,N,4
Holly Valance,Kiss Kiss,spotify:track:5TWL2K9Q9QuUTW15I6ZLpP,N,4
Sugababes,Round Round,spotify:track:5O2Ft5ENCfAh6JCgykJs76,N,2
Marilyn Manson,Tainted Love,spotify:track:0cGG2EouYCEEC3xfa0tDFV,N,5
Brandy,What About Us?,spotify:track:537F8BYzIMOZBl75qwCXy8,N,0
Chad Kroeger,Hero (feat. Josey Scott),spotify:track:779ooI3rBd0CLqCiiJmtVo,N,4
Britney Spears,Overprotected - Radio Edit,spotify:track:5p0KCAuu5nrHpTuAIhHdLw,N,0
Scooter,The Logical Song,spotify:track:18kaCWM0OOdSQTnxCcoSU5,N,0
Missy Elliott,4 My People (feat. Eve),spotify:track:3GhuNU58hVUuzKY7LHmFRB,N,1
Aaliyah,More Than A Woman,spotify:track:4x2YdtTppdbL4kHPOjaunq,N,4
Brandy,Full Moon,spotify:track:0pLmfgIANOX9FB9uZDU43x,N,2
Blue,One Love,spotify:track:2BSwGHTh4kmckqXQfaCaAp,N,1
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,spotify:track:4SnTf4ixVZCfQtxHNhky0T,N,1
Céline Dion,A New Day Has Come - Radio Remix,spotify:track:5fkDD7aQLUmMy1EwzNm0ZB,N,2
Scooter,Nessaja,spotify:track:5RGiyzMQrBQQwMRid7SE65,N,4
Eve,Gangsta Lovin',spotify:track:3RmKpob8xzv1pzHEQrMJah,N,2
Disturbing Tha Peace,Move Bitch,spotify:track:1Q9b6CeMcDuO0uq5OJCrqu,N,4
Khia,"My Neck, My Back (Lick It)",spotify:track:5r29mFrurlVBbqJzjr2XW6,N,2
Tweet,Oops (Oh My) [feat. Missy Elliott],spotify:track:5Y0E3dOeynKuLDAXu0t0Bg,N,1
Kylie Minogue,Spinning Around,spotify:track:0JcgDliDqDac8iOFFRm7tZ,N,2
Nelly,Hot In Herre,spotify:track:04KTF78FFg8sOHC1BADqbY,N,2
Gareth Gates,Anyone of Us (Stupid Mistake),spotify:track:50B1fJ7ILR9OCXVRrKeunR,N,4
Christina Aguilera,Dirrty (feat. Redman),spotify:track:59ZTxQo8rBycIXPLUIKvE2,N,1
B2K,Uh Huh,spotify:track:4bJ02dcoGEkcSJOhNbx0tp,N,4
Sugababes,Freak Like Me,spotify:track:34BqftHZ1In9YfAwqycB8E,N,0
Dirty Vegas,Days Go By,spotify:track:2RLpFEf6d0708O7Bqhjyxg,N,2
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),spotify:track:2mKouqwAIdQnMP43zxR89r,N,2
Liberty X,Just A Little,spotify:track:1IMbmQCnl3h4m8NXqKee0g,N,2
No Doubt,Hella Good,spotify:track:6AfLmKXzhEZjwiVPs5jhdV,N,2
LL Cool J,Luv U Better,spotify:track:7cGcyNd7NVvDIwCAQSbJLI,N,1
Red Hot Chili Peppers,Can't Stop,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,N,2
Musiq Soulchild,Halfcrazy,spotify:track:3oXNIpoUMdk8qGkwCeXqGv,N,2
Sean Paul,Gimme the Light,spotify:track:5WavgurgGX48eZv1q1E3on,N,4
Faith Evans,I Love You,spotify:track:6gsmFgUiSTuinJlScwFODv,N,2
Charli Baltimore,Down 4 U,spotify:track:21iEEekDSvQjVARSQ4dpXY,N,0
Kylie Minogue,Love at First Sight,spotify:track:6ua8mbyHXTHpAmGyGpFAS2,N,4
N.O.R.E.,Nothin',spotify:track:5ZKVNTG7yu7gbX4vryqS2X,N,4
Gareth Gates,Unchained Melody,spotify:track:0N6PDDtxg2QdIM62VyDhBq,N,5
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],spotify:track:7lVNTXkI3cHFvcXiI8damb,N,1
Big Brovaz,Nu Flow,spotify:track:5Bhf4i2WUDGc3W0HW6XTVK,N,0
No Doubt,Hey Baby,spotify:track:2QsoVMTKj5m5kgztTOep98,N,2
Ashanti,Baby,spotify:track:6cZPfzVtkicrA3CyjqYKhu,N,1
Sophie Ellis-Bextor,Murder On The Dancefloor,spotify:track:4tKGFmENO69tZR9ahgZu48,N,4
Justin Timberlake,Like I Love You,spotify:track:4rHZZAmHpZrA3iH5zx8frV,N,5
Mary J. Blige,Rainy Dayz,spotify:track:1F1XjwRzMh8KT2BvH6ISkG,N,0
A1,Caught in the Middle,spotify:track:27zJBz0YnuZO69U69z96vd,N,4
Eminem,Cleanin' Out My Closet,spotify:track:7BMO7O7ImjV8HNTH74Tshv,N,2
Ashanti,Happy,spotify:track:6CbcdeTQKj0qTaZTt0xkdk,N,4
Delta Goodrem,Born to Try,spotify:track:2iWyrSHvs6qhFzfpiLAK0z,N,2
P!nk,Get the Party Started,spotify:track:02jcEwywffn3Tsb48fXmlW,N,2
Alicia Keys,A Woman's Worth,spotify:track:0rimetBQIYXE3uMCbuXBUa,N,5
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,spotify:track:747tpec1a0Hfqvj2za1pBs,N,2
Coldplay,Clocks,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,N,5
Missy Elliott,Work It,spotify:track:3jagJCUbdqhDSPuxP8cAqF,N,1
Ronan Keating,If Tomorrow Never Comes,spotify:track:40dCbY0oJsG2ZdvaGVB34d,N,5
Big Tymers,Still Fly,spotify:track:563vSy3HB5NHxel1VGQCW6,N,0
Creed,My Sacrifice,spotify:track:2VSbEXqs6NbNiZSTcHlIDR,N,4
Ja Rule,Always On Time,spotify:track:2lXJr5BkUPZpQUV2ZGN1Wv,N,1
Ashanti,Foolish,spotify:track:6zMUIb4uce1CzpbjR3vMdN,N,4
Avril Lavigne,Sk8er Boi,spotify:track:00Mb3DuaIH1kjrwOku9CGU,N,0
DJ Sammy,Heaven,spotify:track:72SpPFrMYCXLB3Fbw9tEgf,N,2
Britney Spears,"I'm Not a Girl, Not Yet a Woman",spotify:track:1xg1yGPy1Y3YUf44s6TB1o,N,5
Cam’ron,Oh Boy,spotify:track:4X1odWLrLSSahaK6Hi15AA,N,1
Red Hot Chili Peppers,By the Way,spotify:track:1f2V8U1BiWaC9aJWmpOARe,N,4
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,spotify:track:3j4viUIDSuB4xfYYlp3Lpa,N,2
Atomic Kitten,The Tide Is High - Radio Mix,spotify:track:1QhSB9L9M5eZQhW4RNOhXK,N,2
*NSYNC,Girlfriend,spotify:track:6u5flhVFxKZrl9AApvf2SL,N,4
Robbie Williams,Somethin' Stupid,spotify:track:4kSKacywUJHdhyst4PL6pl,N,5
Alanis Morissette,Hands Clean,spotify:track:2LVxvGhl2U5p2ql2ujc6vZ,N,0
Usher,U Don't Have to Call,spotify:track:0VPFT123HKoQ2J6ipeDcI1,N,0
Creed,One Last Breath - Radio Version,spotify:track:42T2QQv3xgBlpQxaSP7lnK,N,0
The Goo Goo Dolls,Here Is Gone,spotify:track:4KqTGPPmXowMPEoShSVOta,N,4
Puddle Of Mudd,She Hates Me,spotify:track:16DhvbuyvJob4Q9GHNYu2n,N,0
Ludacris,Rollout (My Business),spotify:track:4SyadrABZJIjeND1HPJS31,N,0
Blazin' Squad,Crossroads - Radio Edit,spotify:track:0yXQWVC2vw6RStVnvckQKT,N,5
Default,Wasting My Time,spotify:track:5dpAN1mjFPL38kh9kWsCiw,N,4
Michelle Branch,All You Wanted,spotify:track:0kr6d8wHDQPlzuET33NVn6,N,2
Daniel Bedingfield,If You're Not The One,spotify:track:4gJoAvFpDvaeqm2EKYGmhb,N,5
Enrique Iglesias,Escape,spotify:track:6KRi6CBUitENJB4HQbSVSD,N,2
Puddle Of Mudd,Blurry,spotify:track:6lSr3iZTC144PKhvbPFzMp,N,4
Coldplay,In My Place,spotify:track:2nvC4i2aMo4CzRjRflysah,N,0
Outkast,The Whole World (feat. Killer Mike),spotify:track:074v54tSEWLbq3Hu5wf6uh,N,1
P!nk,Don't Let Me Get Me - Radio Edit,spotify:track:1BfRdnfPYrni7zj4ANodBX,N,4
50 Cent,In Da Club,spotify:track:4RY96Asd9IefaL3X4LOLZ8,N,1
Sean Paul,Get Busy,spotify:track:6bK9BH9Ts8Gj5JFvnQkzak,N,2
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",spotify:track:6GkTKjv1XbFVdI2D8vvDPu,N,1
Beyoncé,Crazy In Love (feat. Jay-Z),spotify:track:5IVuqXILoxVWvWEPm82Jxr,N,1
Counting Crows,Big Yellow Taxi,spotify:track:4O4dhPrjcw7GSLNafNydmb,N,4
Black Eyed Peas,Where Is The Love?,spotify:track:0xmjwnQ3FNE6HuWCt2nHdZ,N,1
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,spotify:track:0jiBVBJkLrlGLgrIVmd3VK,N,1
Black Eyed Peas,Shut Up,spotify:track:0KxU9wjCedUxSGdjuFdBDu,N,1
t.A.T.u.,All The Things She Said,spotify:track:4bJygwUKrRgq1stlNXcgMg,N,4
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,spotify:track:5JZnjM9ijpit0d5zjT8MM7,N,2
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),spotify:track:0YImOCkIJ2PWhCXaURCZnY,N,0
Panjabi MC,Mundian to Bach Ke,spotify:track:2LxAeJ9KUj1GRS9oeHgQ3i,N,3
Mis-Teeq,Scandalous - U.S. Radio Edit,spotify:track:1Bm9mFt5H5TnaZb4XuIyn9,N,5
JAY-Z,03' Bonnie & Clyde,spotify:track:5ljCWsDlSyJ41kwqym2ORw,N,1
50 Cent,P.I.M.P.,spotify:track:7D8gRgQ161fqXNOkcanJfa,N,1
Jamelia,Superstar,spotify:track:5Me8ukaCWoEZu5oK9NSAlS,N,2
Linkin Park,Faint,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,N,4
DMX,X Gon' Give It To Ya,spotify:track:1zzxoZVylsna2BQB65Ppcb,N,2
Evanescence,Bring Me To Life,spotify:track:0COqiPhxzoWICwFCS4eZcp,N,0
Sugababes,Hole In The Head,spotify:track:0ei6GEDD2dV6U2507Po9ma,N,2
Craig David,Rise & Fall (feat. Sting),spotify:track:23ehR4jpFQFMfDADgFdXR7,N,0
Three Days Grace,I Hate Everything About You,spotify:track:0M955bMOoilikPXwKLYpoi,N,2
Lil Jon & The East Side Boyz,Get Low,spotify:track:0r2Bul2NuCViraT2zX1l5j,N,4
B2K,"Bump, Bump, Bump (feat. P. Diddy)",spotify:track:6FTJuZtQZvmPPRFmrcno9J,N,1
Baby Bash,Suga Suga,spotify:track:6Nq5lE0CeOAAAqN4qhkbZU,N,1
Aaliyah,Miss You - Main,spotify:track:0tr492xughUjNeqSDDD5nK,N,5
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,spotify:track:7mS8RbJji2UZAaguRGsOCH,N,2
Blue,Sorry Seems To Be The Hardest Word,spotify:track:6F9jdzX7CfixvCsCkW7zw9,N,0
Delta Goodrem,Lost Without You,spotify:track:1w0JL6vJdl82xqyRW30HrK,N,2
Justin Timberlake,Rock Your Body,spotify:track:1AWQoqb9bSvzTjaLralEkT,N,4
The White Stripes,Seven Nation Army,spotify:track:3dPQuX8Gs42Y7b454ybpMR,N,4
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,spotify:track:5TpaWJKnuyA4MjzAbFXSTQ,N,1
Beyoncé,Baby Boy (feat. Sean Paul),spotify:track:4WY3HyGXsWqjFRCVD6gnTe,N,1
Lil' Kim,Magic Stick,spotify:track:0aULRU35N9kTj6O1xMULRR,N,1
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),spotify:track:0cv1Mnb47oMvjVKMc2cyZw,N,1
Nickelback,Someday,spotify:track:4PkJ7c9y1CwpuVOiJODnCZ,N,2
Blue,U Make Me Wanna - Radio Edit,spotify:track:47TqCCnEliDp8NRDyIQoQq,N,2
Ashanti,Rain On Me,spotify:track:1YZBMqN8kHaaRPXpQTC3kb,N,2
Trapt,Headstrong,spotify:track:1AEYT6VxrxXPMoQUxsY0E4,N,0
Simply Red,Sunrise,spotify:track:0jGVEPscW8KmqktoHqv2Pa,N,2
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",spotify:track:1AjQE5MtP5jHQMyDepbvLI,N,3
Girls Aloud,Sound Of The Underground,spotify:track:0SKjqIViHaXWhmaKuJbMrq,N,0
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,spotify:track:4TJduXYW1Pg96EDNnfiwxJ,N,1
Room 5,Make Luv,spotify:track:6xXEw4y39shgIp6pacKQFH,N,3
Fatman Scoop,Be Faithful,spotify:track:4fz1Yb74e0QYkuvpn84DKI,N,1
Limp Bizkit,Behind Blue Eyes,spotify:track:1MTQHCpraD4S8g5PAFKzoj,N,5
Sugababes,Too Lost In You,spotify:track:0RilVXCOQf4AD6a4uTTs7d,N,4
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",spotify:track:6xChOqrClteugb4RwSD1kS,N,4
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,spotify:track:0iFOG4Ki9aDmJUYUFHQlPG,N,5
Chingy,Right Thurr,spotify:track:0l3GEbH3CviUytD6iX4wzg,N,1
Eminem,Sing For The Moment,spotify:track:3CpoeW0cZSDzIRv5z34F87,N,2
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,spotify:track:6UZS3KgNc0NF13bbtQTzD6,N,1
Mýa,My Love Is Like...Wo - Main Mix,spotify:track:3Gamc2D6VSlXpUcmhPUFYt,N,4
50 Cent,21 Questions,spotify:track:41bIQPBE1lFN0mmw6Lmssz,N,1
Nelly,Air Force Ones,spotify:track:1DpVTrPL1QsbSDqdBHw0Pg,N,1
Missy Elliott,Gossip Folks (feat. Ludacris),spotify:track:75DjPjiIp2fvJDjtt41Jfs,N,1
Girls Aloud,Jump,spotify:track:77XwQEPxhY65b8rPszET9u,N,2
Ultrabeat,Pretty Green Eyes - Radio Edit,spotify:track:71NJqORRmwlcZSLk0VsFjU,N,4
Christina Aguilera,Fighter,spotify:track:7nXq1vaZiz7PdbfojpPjW5,N,0
Frankie J,Don't Wanna Try,spotify:track:1XE1UGRpvvkaFEeqe1OJpw,N,5
Snoop Dogg,Beautiful,spotify:track:7FrJV8tydWEv1Mxu2mIQrm,N,2
Floetry,Say Yes,spotify:track:2fE4MbwX3QGMzNaMjGVhtw,N,5
Ginuwine,In Those Jeans,spotify:track:5ojJNnX5ND2gMGojPd3NiO,N,5
Electric Six,Danger! High Voltage - Soulchild Radio Mix,spotify:track:2VHfyWLlvCvbkIqtS5tqt3,N,2
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,spotify:track:1unSsa1sbyaVy1teiduxgo,N,4
Ludacris,Stand Up,spotify:track:2CtCwQhY0ZLvr8L2l8Bo6e,N,1
Nas,I Can,spotify:track:2NPxL1QqPrD1a7OLHjVcAP,N,2
3 Doors Down,When I'm Gone,spotify:track:3WbphvawbMZ8FyqDxYGdSQ,N,2
Tyrese,How You Gonna Act Like That,spotify:track:3OUApyz3jDB3syGUNGqB1d,N,4
Justin Timberlake,Cry Me a River,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,N,5
Westlife,Mandy,spotify:track:55C0ooQ3n7HeWuzREJ0KAQ,N,5
No Doubt,It's My Life,spotify:track:2fOxxLz9JVe53itq6pfBak,N,0
Amanda Perez,Angel,spotify:track:2T4rXDppGlcy2lLuF4IyHq,N,5
JAY-Z,Excuse Me Miss,spotify:track:0ZHu7jkSSrT0eK4OxuG4O5,N,1
Coldplay,Clocks,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,N,5
Kelly Rowland,Stole,spotify:track:4CTX9iU2a0Q9vM2T4YMUQL,N,2
Missy Elliott,Work It,spotify:track:3jagJCUbdqhDSPuxP8cAqF,N,1
Ashanti,Rock Wit U (Awww Baby),spotify:track:6pWzCKTrKrwbUPzY8RLCoP,N,4
Junior Senior,Move Your Feet,spotify:track:4jacsL77ZYnpInmTtUBaJW,N,2
Audioslave,Like a Stone,spotify:track:3YuaBvuZqcwN3CEAyyoaei,N,2
Sean Paul,Like Glue,spotify:track:56m8Wv3qRBfwLuO08GtfHs,N,1
Jaheim,Put That Woman First,spotify:track:3OQu3z3okKVmWxSXTTHak5,N,5
Jennifer Lopez,All I Have (feat. LL Cool J),spotify:track:1RQE33QW6K4YFKGPLHjbcC,N,4
Monica,So Gone,spotify:track:6BIcjFZIVDZxNAcofRFPx4,N,2
Dido,White Flag,spotify:track:3adnLFXKO5rC1lhUNSeg3N,N,5
The Roots,The Seed (2.0),spotify:track:6HxweNytuEQdmGeVtZPZz3,N,2
Chingy,Holidae In,spotify:track:0FmCLEHfINGqwlyzvklNqy,N,2
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),spotify:track:6lrRIfQDcikJ5y5DtyZPuJ,N,1
Kelly Clarkson,Miss Independent,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,N,4
Ja Rule,Mesmerize,spotify:track:2iclfHORMqpR3TxuhwVRhD,N,1
Matchbox Twenty,Unwell,spotify:track:0PXWpNBYg52gABrn1qL1bD,N,0
Outkast,The Way You Move (feat. Sleepy Brown),spotify:track:5z7mYFfhw6N6f23VwrokJD,N,2
Fabolous,Into You (feat. Tamia),spotify:track:0yHConG49418wPs8UfAt44,N,2
Switchfoot,Meant to Live,spotify:track:2md2i5QvelRFnafpnd6LOg,N,0
Daniel Bedingfield,If You're Not The One,spotify:track:4gJoAvFpDvaeqm2EKYGmhb,N,5
Good Charlotte,Lifestyles of the Rich & Famous,spotify:track:2g2a5kDeZexbUTD8abcvm6,N,4
Wayne Wonder,No Letting Go,spotify:track:5dWfl2PBpKHpBVdz95wxK1,N,4
The Strokes,Reptilia,spotify:track:57Xjny5yNzAcsxnusKmAfA,N,3
Avril Lavigne,I'm with You,spotify:track:1jlG3KJ3gdYmhfuySFfpO1,N,2
Will Young,Leave Right Now,spotify:track:4mZsyuthp695XQWwb2g3qe,N,5
Usher,Yeah! (feat. Lil Jon & Ludacris),spotify:track:5rb9QrpfcKFHM1EUbSIurX,N,4
Maroon 5,This Love,spotify:track:6ECp64rv50XVz93WvxXMGF,N,4
Britney Spears,Toxic,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,N,2
Outkast,Hey Ya!,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,N,4
Hoobastank,The Reason,spotify:track:77loZpT5Y5PRP1S451P9Yz,N,4
Anastacia,Left Outside Alone,spotify:track:3xl7PsO7Hzuig6To9FgDm6,N,4
Daddy Yankee,Gasolina,spotify:track:228BxWXUYQPJrJYHDLOHkj,N,4
Black Eyed Peas,Let's Get It Started - Spike Mix,spotify:track:4hfIVhq0F0zFUcrbecsYmo,N,2
O-Zone,Dragostea Din Tei,spotify:track:6YkHLUPBUttfwepwFgNNGX,N,4
Terror Squad,Lean Back,spotify:track:2Ozc0me9PV5vlt8cokwdvI,N,1
Anastacia,Sick and Tired,spotify:track:54s027DgaSJlvp1q2sdzTa,N,4
Gwen Stefani,What You Waiting For?,spotify:track:7bZsx7Zif6FIhrcZrh0LVm,N,0
Ashanti,Only U - No Intro,spotify:track:3sckKKIx96cjPXtiqPHCTB,N,2
The Rasmus,In the Shadows,spotify:track:1fr92Vupmcs2vgLMFVQ7rd,N,0
Houston,I Like That,spotify:track:4MMqj7HaLL8BphbBZnlsdq,N,2
Beyoncé,Naughty Girl,spotify:track:0YGQ3hZcRLC5YX7o0hdmHg,N,5
Linkin Park,Numb,spotify:track:5sNESr6pQfIhL3krM8CtZn,N,0
Lloyd Banks,On Fire,spotify:track:0B2ZuTLZnWQ6gz8RlNwBu1,N,1
Akon,Locked Up,spotify:track:48EQasc6XD0pOQtkIOWqOC,N,2
D12,My Band,spotify:track:2nVDtbHH264f3f6D9zxP9X,N,4
Jay Sean,Eyes On You - Radio Mix,spotify:track:3iDGjoK2Qhj7hSzLDLEosc,N,2
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,spotify:track:2yr2HnFYl7XvqJk4fXoQBt,N,2
Destiny's Child,Lose My Breath,spotify:track:4dvQg9sD8k9y4qiEURuj8v,N,4
Eric Prydz,Call on Me - Radio Mix,spotify:track:6E0dc82Da4W5QWXR8ktoGT,N,0
Ciara,Goodies (feat. Petey Pablo),spotify:track:3dFwpxh2yH7C7p9BGEKLVB,N,4
Kelis,Trick Me,spotify:track:2qib0282oGZPZWyJHqJaVi,N,4
LL Cool J,Headsprung,spotify:track:1GIN41bLhiKeEPeC2vXH8i,N,4
Spiderbait,Black Betty - Edit,spotify:track:3HpMr5m4L31dsj4YqMCDfV,N,3
George Michael,Amazing,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,N,2
Britney Spears,My Prerogative,spotify:track:2TxLSV0AqZTYQQL9QCX0D4,N,2
Nina Sky,Move Ya Body,spotify:track:2ndnVdR8si7CW9T8vJRHyW,N,2
Baby Bash,Suga Suga,spotify:track:6Nq5lE0CeOAAAqN4qhkbZU,N,1
Petey Pablo,Freek-A-Leek,spotify:track:4MeDnO5yA2Zi6IMlVApRci,N,0
JAY-Z,Dirt Off Your Shoulder,spotify:track:3IrkbGQCoEPAkzJ0Tkv8nm,N,1
Juanes,La Camisa Negra,spotify:track:2EM9zpAc7PVeoAydmbfVIL,N,2
Avril Lavigne,Nobody's Home,spotify:track:0cZDC7uxNK8lqQ3GgyvCnD,N,0
Robbie Williams,Radio,spotify:track:7oQSevUCbYs4QawXTHQVV1,N,2
Black Eyed Peas,Hey Mama,spotify:track:3KDCYRQl4O681lkYI2sCqE,N,0
Ying Yang Twins,Salt Shaker,spotify:track:4Kd0FzFpOgIGxlBl4HXuFn,N,2
Enrique Iglesias,Not In Love - Radio Mix,spotify:track:79gkHjNTSyGPXEyGkNQ8zH,N,4
Kelis,Milkshake,spotify:track:2s0ouHqJebHfiQ6C1GUFJd,N,4
Linkin Park,Breaking the Habit,spotify:track:6n8TMVyFKoUmDc4apxceRD,N,4
JoJo,Leave (Get Out) - Radio Edit,spotify:track:3DOxMCaNBNvnjSzpHUSjE3,N,1
Christina Milian,Dip It Low,spotify:track:4L55p6txv9vuCWhpNnY6eY,N,2
Avant,Read Your Mind,spotify:track:6cR1U61DMpYbS2TtNTlSvo,N,5
Eminem,Just Lose It,spotify:track:0qcjuYtMWhBjXg0Xwt5SzS,N,2
Sugababes,Too Lost In You,spotify:track:0RilVXCOQf4AD6a4uTTs7d,N,4
Snoop Dogg,Drop It Like It's Hot,spotify:track:2NBQmPrOEEjA8VbeWOQGxO,N,1
Sean Paul,I'm Still in Love with You (feat. Sasha),spotify:track:5lJx5eiSahFfsqkMJVlkDN,N,2
The Shapeshifters,Lola's Theme - Radio Edit,spotify:track:2SCP5oOX5OSp5RT83h2rs0,N,2
D12,How Come,spotify:track:785t3poQsvdkSeH5xGA9R4,N,1
Basement Jaxx,Good Luck,spotify:track:1loMHOGpWEgh1cFvpoSZf0,N,0
Kevin Lyttle,Turn Me On,spotify:track:0BBOLOV5JntPL3341swIre,N,2
Chingy,One Call Away,spotify:track:0UNTBB02C1aB55Fu4H63qd,N,1
T.I.,Bring Em Out,spotify:track:6ZEg5lvsHhIqAxu2OiryYY,N,1
DJ Casper,Cha Cha Slide - Hardino Mix,spotify:track:3XTaaGGAL2gVVaAbu0yxQX,N,2
Kylie Minogue,I Believe in You,spotify:track:1AKJnUOmNwlyXzOYptQhwx,N,0
Twista,Overnight Celebrity,spotify:track:2tOZtdbkAMQASWokLvSlzj,N,2
N.E.R.D,She Wants To Move,spotify:track:4Vqd7MuPVrciqRS3EzhKWb,N,4
Britney Spears,Everytime,spotify:track:0dRhSF9LV0HR8Jwd3MMMKJ,N,5
U2,Vertigo,spotify:track:1gVVSmhWjci8l9Vrsl6HaS,N,2
Franz Ferdinand,Take Me Out,spotify:track:20I8RduZC2PWMWTDCZuuAN,N,4
J-Kwon,Tipsy - Club Mix,spotify:track:0jSMveIWvnhDIvzqN74Uc7,N,1
G-Unit,Wanna Get To Know You,spotify:track:1dHJETCn2X1R1YwVlMvSza,N,2
Lil' Flip,Sunshine (feat. Lea),spotify:track:4s0o8TJHfX9LLHa0umnOzT,N,4
Kanye West,Jesus Walks,spotify:track:5g1vtHqi9uV7xtYeCcFOBx,N,1
